2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 10 | Status: UPDATE_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 10 | Status: DATA_INSERT_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 11 | Status: UPDATE_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 11 | Status: DATA_INSERT_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 12 | Status: UPDATE_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 12 | Status: DATA_INSERT_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 13 | Status: UPDATE_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 13 | Status: DATA_INSERT_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 14 | Status: UPDATE_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 14 | Status: DATA_INSERT_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 15 | Status: UPDATE_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 15 | Status: DATA_INSERT_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 16 | Status: UPDATE_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 16 | Status: DATA_INSERT_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 17 | Status: UPDATE_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 17 | Status: DATA_INSERT_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 18 | Status: UPDATE_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 18 | Status: DATA_INSERT_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 19 | Status: UPDATE_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 19 | Status: DATA_INSERT_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 20 | Status: UPDATE_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 20 | Status: DATA_INSERT_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 21 | Status: UPDATE_SUCCESS
2025/09/01 10:06:26 Time: 2025-09-01T10:06:26+03:00 | IdTag: 21 | Status: DATA_INSERT_SUCCESS
