2025/09/01 17:01:32 [ТГ-5 Часовые] Старт процесса
2025/09/01 17:01:32 [ТГ-5 Часовые] Start completed
2025/09/01 17:01:32 [ТГ-5 Часовые] Горутина запустилась
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 303 | Status: UPDATE_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 303 | Status: DATA_INSERT_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 304 | Status: UPDATE_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 304 | Status: DATA_INSERT_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 305 | Status: UPDATE_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 305 | Status: DATA_INSERT_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 306 | Status: UPDATE_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 306 | Status: DATA_INSERT_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 307 | Status: UPDATE_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 307 | Status: DATA_INSERT_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 308 | Status: UPDATE_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 308 | Status: DATA_INSERT_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 309 | Status: UPDATE_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 309 | Status: DATA_INSERT_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 310 | Status: UPDATE_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 310 | Status: DATA_INSERT_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 311 | Status: UPDATE_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 311 | Status: DATA_INSERT_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 312 | Status: UPDATE_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 312 | Status: DATA_INSERT_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 313 | Status: UPDATE_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 313 | Status: DATA_INSERT_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 314 | Status: UPDATE_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 314 | Status: DATA_INSERT_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 315 | Status: UPDATE_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 315 | Status: DATA_INSERT_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 316 | Status: UPDATE_SUCCESS
2025/09/01 17:01:32 Time: 2025-09-01T17:01:32+03:00 | IdTag: 316 | Status: DATA_INSERT_SUCCESS
